Id,Complete Name,Department,Employement Status,Location,% terminated,Age,Birthdate,Gender,Hire Date,Jobtitle,Location City,Location State,Termdate
00-0624189,Katerina Rosborough,Engineering,Active,HQ,1,33,01-07-1989,Male,29-08-2014,Database Administrator III,Cleveland,Ohio,30-09-2018
00-0715212,Alida Longley,Accounting,Active,HQ,1,50,5/23/1972,Female,19-12-2010,Business Analyst,Cleveland,Ohio,30-09-2017
00-0755645,Laraine Petre,Engineering,Active,Remote,1,35,08-07-1987,Female,17-07-2003,Assistant Trainer,Fort Wayne,Indiana,30-09-2017
00-0778934,Gareth MacCook,Legal,Active,HQ,1,23,01-10-1999,Male,14-01-2008,Administrative Officer,Cleveland,Ohio,30-09-2017
00-0794247,Scottie Chestney,Engineering,Active,HQ,1,36,10/31/1986,Female,24-10-2012,General Manager,Cleveland,Ohio,30-09-2015
00-0948136,Christophorus Boseley,Marketing,Active,HQ,1,29,07-04-1993,Female,15-05-2003,Quality Control Specialist,Cleveland,Ohio,30-09-2015
00-0971612,Arleyne Froome,Engineering,Active,HQ,1,44,09-11-1978,Female,11-09-2012,Programmer I,Cleveland,Ohio,30-09-2013
00-1051096,Todd Cashen,Accounting,Active,HQ,1,37,10-03-1985,Non-Conforming,21-05-2011,Customer Success Manager,Cleveland,Ohio,30-09-2012
00-1052230,Elmo McNee,Services,Terminated,HQ,1,27,10/28/1995,Female,20-08-2008,Recruiter,Cleveland,Ohio,30-09-2011
00-1100714,Regen Nafzger,Human Resources,Terminated,HQ,1,21,01-04-2001,Female,12-03-2003,Software Engineer III,Cleveland,Ohio,30-09-2010
00-1147503,Penelope Wenman,Business Development,Active,HQ,1,39,12/30/1983,Male,25-07-2003,Service Manager,Cleveland,Ohio,30-09-2006
00-1189819,Rudolf Reichardt,Business Development,Terminated,Remote,0,29,12/16/1993,Male,01-09-2018,Senior Quality Engineer,Terre Haute,Indiana,29-09-2035
00-1222963,Tobiah Fruchon,Services,Active,HQ,0,54,11-11-1968,Male,01-11-2012,Software Test Engineer III,Cleveland,Ohio,29-09-2032
00-1268049,Fay Monnelly,Engineering,Active,Remote,0,28,4/20/1994,Female,08-07-2017,Customer Success Manager,Dayton,Ohio,29-09-2031
00-1277358,Lola Burrells,Human Resources,Active,HQ,0,44,12-03-1978,Female,11-09-2011,Service Coordinator,Cleveland,Ohio,29-09-2030
00-1284831,Hamel Edgeler,Human Resources,Terminated,Remote,0,33,07-02-1989,Female,27-10-2017,Tax Accountant,Milwaukee,Wisconsin,29-09-2030
00-1331085,Shalne Berntssen,Business Development,Active,HQ,0,37,05-11-1985,Male,28-05-2007,Research Assistant I,Cleveland,Ohio,29-09-2026
00-1418617,Nefen Russan,Training,Active,HQ,0,50,07-11-1972,Female,12-07-2018,Accountant II,Cleveland,Ohio,29-09-2022
00-1451930,Woodie Hayhow,Engineering,Active,HQ,1,29,2/23/1993,Male,07-10-2020,Human Resources Analyst II,Cleveland,Ohio,29-09-2021
00-1499371,Claude Ales0,Sales,Active,HQ,1,30,02-06-1992,Male,28-12-2015,Software Engineer I,Cleveland,Ohio,29-09-2019
00-1557949,Virginia Teligin,Engineering,Active,HQ,1,36,5/13/1986,Male,12-06-2012,Web Developer II,Cleveland,Ohio,29-09-2018
00-1695354,Starr Yitzhok,Training,Active,Remote,1,43,6/29/1979,Female,20-11-2013,Service Manager,Cincinnati,Ohio,29-09-2018
00-1722938,Perla Durrand,Sales,Active,HQ,1,42,7/27/1980,Female,22-10-2003,Staff Accountant III,Cleveland,Ohio,29-09-2009
00-1728402,Mahala McTrustie,Business Development,Active,Remote,1,49,9/26/1973,Male,10-01-2001,Web Developer II,Fort Wayne,Indiana,29-09-2005
00-1735797,Hobart Bertrand,Business Development,Active,HQ,0,33,02-09-1989,Female,26-12-2012,Budget/Accounting Analyst IV,Cleveland,Ohio,28-09-2033
00-1792130,Nobe Leathe,Engineering,Active,HQ,0,48,03-06-1974,Male,09-05-2009,Systems Administrator II,Cleveland,Ohio,28-09-2029
00-1830166,Peta Gosson,Human Resources,Active,HQ,0,41,08-05-1981,Female,20-07-2007,Relationshiop Manager,Cleveland,Ohio,28-09-2027
00-1861400,Ninnette Batter,Business Development,Active,HQ,0,49,11-10-1973,Male,06-06-2019,Service Coordinator,Cleveland,Ohio,28-09-2026
00-1877605,Bibbie Matteoli,Support,Active,HQ,0,55,6/22/1967,Female,13-03-2004,Staff Accountant I,Cleveland,Ohio,28-09-2023
00-1892609,Averell Paintain,Research and Development,Active,Remote,0,52,6/16/1970,Male,14-08-2002,Administrative Assistant I,Erie,Pennsylvania,28-09-2022
00-1954462,Marcel Fowkes,Accounting,Active,HQ,0,23,07-04-1999,Male,26-02-2013,Human Resources Analyst II,Cleveland,Ohio,28-09-2022
00-1957612,Artus Cawcutt,Services,Terminated,Remote,1,44,09-09-1978,Male,25-08-2014,Human Resources Analyst,Chicago,Illinois,28-09-2021
00-2010536,Emili Cowl,Engineering,Active,HQ,1,24,9/23/1998,Female,20-08-2009,Desktop Support Technician,Cleveland,Ohio,28-09-2019
00-2209303,Edeline Painten,Services,Active,HQ,1,21,1/21/2001,Female,09-02-2010,Data Visualization Specialist,Cleveland,Ohio,28-09-2018
00-2228674,Meggi Mc Ilory,Training,Active,HQ,1,27,7/28/1995,Male,05-04-2010,Project Manager,Cleveland,Ohio,28-09-2012
00-2229651,Giordano Muckian,Business Development,Active,HQ,1,49,7/23/1973,Male,13-11-2002,Service Manager,Cleveland,Ohio,28-09-2010
00-2260658,Nickolas Coopey,Support,Active,HQ,1,26,05-10-1996,Non-Conforming,26-12-2006,Budget/Accounting Analyst III,Cleveland,Ohio,28-09-2009
00-2301130,Corrina Blooman,Services,Active,HQ,1,21,7/29/2001,Female,06-09-2004,Relationshiop Manager,Cleveland,Ohio,28-09-2008
00-2334565,Odey Brough,Engineering,Active,HQ,0,50,12-05-1972,Female,16-06-2017,Senior Trainer,Cleveland,Ohio,27-09-2036
00-2367299,Lenka Astridge,Human Resources,Active,Remote,0,39,10/21/1983,Female,24-12-2018,Systems Administrator I,Cincinnati,Ohio,27-09-2033
00-2509034,Gunar Dinkin,Training,Active,Remote,0,51,10-06-1971,Male,08-10-2019,Business Analyst,Fort Wayne,Indiana,27-09-2032
00-2607971,Gale Dreossi,Auditing,Terminated,HQ,0,49,9/24/1973,Male,31-01-2020,Human Resources Analyst,Cleveland,Ohio,27-09-2027
00-2623755,Chrysa Brownell,Engineering,Active,HQ,0,43,7/19/1979,Male,24-05-2015,Service Tech III,Cleveland,Ohio,27-09-2023
00-2637590,Britte Royds,Training,Active,HQ,1,54,06-06-1968,Male,29-10-2014,Web Developer II,Cleveland,Ohio,27-09-2018
00-2682864,Bil Wanden,Engineering,Active,HQ,1,47,7/23/1975,Female,02-10-2006,Recruiter,Cleveland,Ohio,27-09-2015
00-2704725,Ronda Dictus,Training,Active,HQ,1,28,05-12-1994,Female,05-02-2004,Tax Accountant,Cleveland,Ohio,27-09-2011
00-2709445,Loree Neno,Research and Development,Active,HQ,0,22,11/29/2000,Male,20-04-2019,Cost Accountant,Cleveland,Ohio,26-09-2035
00-2773154,Teena Tolan,Human Resources,Active,Remote,0,22,2/21/2000,Male,23-11-2015,Senior Developer,Philadelphia,Pennsylvania,26-09-2032
00-2861998,Karine Seage,Training,Active,HQ,0,35,12-06-1987,Male,09-12-2019,Content Developer II,Cleveland,Ohio,26-09-2029
00-2874422,Diandra Bourget,Human Resources,Terminated,HQ,0,50,05-02-1972,Female,27-05-2020,Quality Control Specialist,Cleveland,Ohio,26-09-2026
00-2889513,Dodi Caves,Business Development,Active,HQ,0,41,02-03-1981,Male,11-06-2019,Accounting Assistant II,Cleveland,Ohio,26-09-2022
00-2950779,Hyman Dancey,Training,Active,Remote,1,56,7/15/1966,Female,27-04-2003,Service Manager,Lexington,Kentucky,26-09-2007
00-3008455,Rourke Dawkins,Business Development,Active,HQ,0,27,09-08-1995,Male,02-09-2017,Accountant III,Cleveland,Ohio,25-09-2032
00-3020430,Northrup Arendt,Services,Active,Remote,0,22,8/17/2000,Female,10-01-2018,General Manager,Indianapolis,Indiana,25-09-2030
00-3030708,Guntar Arro,Business Development,Active,Remote,0,24,8/26/1998,Male,14-11-2011,Desktop Support Technician,Detroit,Michigan,25-09-2029
00-3052411,Midge Orpyne,Engineering,Active,HQ,0,21,1/29/2001,Female,28-06-2010,Research Assistant I,Cleveland,Ohio,25-09-2028
00-3105004,Isador Crady,Training,Active,HQ,0,21,8/17/2001,Male,18-10-2008,Solutions Engineer,Cleveland,Ohio,25-09-2027
00-3135807,Nichol Dionisii,Business Development,Active,HQ,0,30,12/31/1992,Female,11-07-2010,Operator,Cleveland,Ohio,25-09-2024
00-3138749,Dorey Diperaus,Sales,Active,HQ,1,46,2/25/1976,Male,13-09-2019,Human Resources Analyst,Cleveland,Ohio,25-09-2021
00-3208324,Lanie Plewes,Support,Active,HQ,1,46,08-07-1976,Female,26-03-2015,Accounting Assistant III,Cleveland,Ohio,25-09-2018
00-3214670,Mahmoud De L'Isle,Accounting,Active,HQ,1,46,6/19/1976,Male,26-12-2011,Project Manager,Cleveland,Ohio,25-09-2017
00-3217869,Carlynne Gouldthorpe,Accounting,Active,HQ,1,50,12/25/1972,Male,16-05-2010,Desktop Support Technician,Cleveland,Ohio,25-09-2010
00-3334414,Modesta Lanktree,Engineering,Active,HQ,1,25,2/26/1997,Female,03-02-2005,Paralegal,Cleveland,Ohio,25-09-2007
00-3341718,Tildie Ranvoise,Engineering,Active,Remote,0,34,7/30/1988,Female,29-12-2016,Programmer Analyst II,Toledo,Ohio,24-09-2032
00-3389894,Tallulah Dowty,Engineering,Active,HQ,1,43,06-02-1979,Female,12-03-2012,Business Systems Development Analyst,Cleveland,Ohio,24-09-2015
00-3402094,Addie Coldman,Engineering,Active,HQ,1,27,08-11-1995,Female,22-02-2009,Budget/Accounting Analyst II,Cleveland,Ohio,24-09-2011
00-3457300,Eleanore Pudner,Engineering,Active,HQ,1,44,1/20/1978,Male,25-09-2008,Data Coordiator,Cleveland,Ohio,24-09-2009
00-3492248,Carlene Goldwater,Business Development,Active,HQ,0,33,10/22/1989,Male,23-09-2019,Trainer I,Cleveland,Ohio,23-09-2040
00-3597335,Amara Jacobs,Sales,Active,HQ,0,51,9/13/1971,Male,30-06-2020,Tax Accountant,Cleveland,Ohio,23-09-2032
00-3679205,Heall Conville,Training,Active,HQ,0,52,8/18/1970,Female,22-01-2017,Human Resources Analyst II,Cleveland,Ohio,23-09-2031
00-3739286,Jake Dawdry,Engineering,Active,HQ,0,49,10/25/1973,Female,09-05-2019,Research Assistant II,Cleveland,Ohio,23-09-2027
00-3744044,Maribelle Bisson,Training,Active,HQ,0,40,06-12-1982,Female,20-11-2009,Senior Developer,Cleveland,Ohio,23-09-2023
00-3758963,Calypso Connold,Business Development,Active,HQ,1,48,6/16/1974,Female,11-11-2005,Administrative Assistant I,Cleveland,Ohio,23-09-2020
00-3855769,Tanitansy Fancett,Human Resources,Active,HQ,1,47,9/18/1975,Male,27-11-2007,Customer Success Manager,Cleveland,Ohio,23-09-2019
00-3860994,Allyce Giacobazzi,Marketing,Active,HQ,1,29,4/25/1993,Female,30-09-2015,Help Desk Technician,Cleveland,Ohio,23-09-2017
00-3961040,Filberte Morant,Engineering,Active,HQ,1,44,4/16/1978,Male,10-10-2010,Desktop Support Technician,Cleveland,Ohio,23-09-2014
00-3964552,Sergei Glidden,Product Management,Active,HQ,1,34,5/13/1988,Male,02-05-2003,Attorney,Cleveland,Ohio,23-09-2010
00-3987484,Chelsy Clacey,Training,Terminated,Remote,0,32,1/28/1990,Male,09-05-2018,Budget/Accounting Analyst IV,Dearborn,Michigan,22-09-2037
00-4123013,Romy Sandever,Research and Development,Active,HQ,0,54,12/27/1968,Male,22-09-2018,Human Resources Analyst,Cleveland,Ohio,22-09-2036
00-4202411,Rorie Rice,Engineering,Active,HQ,0,49,04-05-1973,Female,19-05-2020,Service Tech,Cleveland,Ohio,22-09-2031
00-4254147,Karel Gullen,Sales,Active,Remote,0,42,08-11-1980,Female,13-02-2016,Research Assistant I,Saginaw,Michigan,22-09-2031
00-4259069,Marcela Bostock,Engineering,Active,HQ,0,31,4/20/1991,Female,03-01-2015,Relationshiop Manager,Cleveland,Ohio,22-09-2030
00-4464648,Agretha Brunning,Engineering,Active,HQ,0,24,01-12-1998,Female,03-06-2014,Tax Accountant,Cleveland,Ohio,22-09-2027
00-4481784,Willdon Pirozzi,Support,Active,HQ,0,30,9/28/1992,Male,26-12-2014,Cost Accountant,Cleveland,Ohio,22-09-2025
00-4521988,Paddie Mallebone,Human Resources,Active,HQ,0,29,5/17/1993,Male,27-12-2005,Quality Control Specialist,Cleveland,Ohio,22-09-2024
00-4585118,Karina Slocum,Services,Active,Remote,1,56,06-08-1966,Male,19-09-2006,Statistician II,Pittsburgh,Pennsylvania,22-09-2021
00-4609499,Gun Heathorn,Services,Active,Remote,1,37,9/23/1985,Female,08-10-2020,Administrative Assistant I,Valley Forge,Pennsylvania,22-09-2021
00-4634919,Dario Renshall,Accounting,Active,HQ,1,36,12/22/1986,Male,26-01-2018,Trainer III,Cleveland,Ohio,22-09-2020
00-4767568,Bartholemy Schutter,Services,Active,HQ,1,40,01-12-1982,Male,26-09-2002,Data Coordiator,Cleveland,Ohio,22-09-2018
00-4872960,Gamaliel McRoberts,Accounting,Active,HQ,1,55,08-06-1967,Male,03-04-2013,Research Assistant II,Cleveland,Ohio,22-09-2013
00-4890880,Demetre Chaulk,Sales,Active,HQ,1,28,11/17/1994,Female,16-08-2009,Accounting Assistant IV,Cleveland,Ohio,22-09-2011
00-4971801,Temple Banasevich,Engineering,Active,Remote,1,29,10/13/1993,Female,11-04-2002,Research Associate,Green Bay,Wisconsin,22-09-2010
00-5033764,Gabie Olivier,Engineering,Active,HQ,1,22,2/25/2000,Female,16-10-2002,Senior Recruiter,Cleveland,Ohio,22-09-2009
00-5045552,Carlen Bruhnke,Engineering,Active,HQ,0,53,9/29/1969,Female,25-08-2010,Web Developer III,Cleveland,Ohio,21-09-2026
00-5070457,Nathaniel Coolahan,Accounting,Active,HQ,0,47,03-01-1975,Female,06-02-2010,Service Tech,Cleveland,Ohio,21-09-2026
00-5137192,Sarajane Price,Accounting,Active,HQ,0,42,9/14/1980,Female,17-03-2020,Account Executive,Cleveland,Ohio,21-09-2024
00-5155617,Hadria Pallasch,Engineering,Active,Remote,1,55,11/20/1967,Male,21-02-2012,Service Tech III,Rockford,Illinois,21-09-2019
00-5175297,Bethina Mathissen,Engineering,Terminated,Remote,1,40,2/24/1982,Male,15-06-2008,Tax Accountant,Pittsburgh,Pennsylvania,21-09-2014
00-5221572,Joshua Rubinsohn,Services,Active,Remote,1,48,1/17/1974,Male,17-02-2008,Analog Circuit Design manager,Louisville,Kentucky,21-09-2013
00-5273292,Philippa Garrod,Product Management,Active,HQ,1,29,08-06-1993,Male,09-08-2002,Human Resources Analyst,Cleveland,Ohio,21-09-2007
00-5421994,Sile Schultheiss,Accounting,Terminated,Remote,0,45,11-06-1977,Female,18-02-2009,Research Assistant I,Louisville,Kentucky,20-09-2026
00-5614221,Conroy Vickars,Business Development,Active,HQ,0,56,11/15/1966,Male,13-09-2012,Customer Success Manager,Cleveland,Ohio,20-09-2026
00-5623981,Roscoe Swindells,Accounting,Active,HQ,0,31,05-05-1991,Male,28-08-2011,Junior Trainer,Cleveland,Ohio,20-09-2025
00-5649238,Antonietta Obal,Engineering,Terminated,Remote,0,32,06-11-1990,Female,27-04-2012,Junior Trainer,Indianapolis,Indiana,20-09-2022
00-5687686,Yettie Swanborough,Sales,Active,HQ,0,26,09-12-1996,Male,16-03-2018,Service Manager,Cleveland,Ohio,20-09-2022
00-5880378,Dannie Thornton-Dewhirst,Accounting,Terminated,HQ,1,45,2/23/1977,Male,22-12-2011,Senior Editor,Cleveland,Ohio,20-09-2019
00-5895027,Nessy Shute,Engineering,Active,HQ,1,28,1/24/1994,Male,09-09-2003,HR Manager,Cleveland,Ohio,20-09-2017
00-5909899,Louise Domingues,Research and Development,Active,Remote,1,47,5/20/1975,Female,31-05-2013,Administrative Assistant,Flint,Michigan,20-09-2016
00-5917185,Frasquito Frape,Engineering,Terminated,HQ,1,33,11/28/1989,Female,01-01-2002,Project Manager,Cleveland,Ohio,20-09-2015
00-5955583,Leonie Bridgeman,Training,Active,HQ,1,32,11/30/1990,Male,26-03-2007,Data Coordiator,Cleveland,Ohio,20-09-2014
00-5958157,Marijn Shotboulte,Accounting,Active,Remote,1,28,1/27/1994,Female,27-05-2006,Data Coordiator,Detroit,Michigan,20-09-2010
00-5965019,Gertrud Jeavon,Research and Development,Active,HQ,1,23,3/14/1999,Male,01-06-2005,Staff Accountant I,Cleveland,Ohio,20-09-2008
00-5992394,Gordie Mariaud,Accounting,Active,HQ,1,53,6/22/1969,Female,19-04-2005,Accountant IV,Cleveland,Ohio,20-09-2006
00-5993032,Corrinne Very,Research and Development,Terminated,HQ,1,37,03-09-1985,Male,23-09-2002,Trainer I,Cleveland,Ohio,20-09-2003
00-6077710,Frank Sikorsky,Engineering,Active,HQ,0,51,05-01-1971,Male,17-04-2020,Systems Administrator IV,Cleveland,Ohio,19-09-2036
00-6093562,Linoel Berrecloth,Engineering,Active,HQ,0,35,10-02-1987,Female,18-09-2014,Software Test Engineer II,Cleveland,Ohio,19-09-2034
00-6114236,Lucias Sworder,Engineering,Active,HQ,0,34,2/27/1988,Male,04-10-2012,Research Assistant II,Cleveland,Ohio,19-09-2031
00-6163624,Malvina Mc Grath,Engineering,Terminated,HQ,0,21,05-10-2001,Male,28-12-2017,Senior Cost Accountant,Cleveland,Ohio,19-09-2029
00-6172539,Joanne Jacob,Engineering,Active,Remote,0,56,8/22/1966,Male,30-07-2013,Service Tech,South Bend,Indiana,19-09-2024
00-6252646,Yves Yurivtsev,Human Resources,Active,HQ,0,33,7/27/1989,Male,25-06-2016,Human Resources Analyst II,Cleveland,Ohio,19-09-2024
00-6338870,Curtice Kidgell,Engineering,Active,Remote,0,45,02-10-1977,Female,30-10-2008,Service Coordinator,Philadelphia,Pennsylvania,19-09-2022
00-6371948,Ruby O'Duilleain,Business Development,Terminated,HQ,0,38,4/22/1984,Male,08-06-2008,Budget/Accounting Analyst II,Cleveland,Ohio,19-09-2022
00-6420231,Joseito Walaron,Services,Active,HQ,1,44,6/13/1978,Male,01-07-2004,HR Manager,Cleveland,Ohio,19-09-2021
00-6460144,Helli Hothersall,Engineering,Active,HQ,1,21,12/30/2001,Female,07-03-2015,Human Resources Analyst II,Cleveland,Ohio,19-09-2018
00-6479395,Aura Steagall,Accounting,Active,HQ,1,45,12/14/1977,Male,14-04-2007,Junior Trainer,Cleveland,Ohio,19-09-2018
00-6565696,Flory Ibbitt,Human Resources,Terminated,HQ,1,34,02-04-1988,Male,28-10-2004,Budget/Accounting Analyst II,Cleveland,Ohio,19-09-2017
00-6609229,Leontine Rammell,Product Management,Active,HQ,1,29,03-08-1993,Male,21-10-2007,Research Assistant I,Cleveland,Ohio,19-09-2015
00-6666091,Carly Everall,Support,Active,Remote,1,46,3/14/1976,Male,01-06-2008,Trainer I,Toledo,Ohio,19-09-2008
00-6675478,Reginald Gosker,Engineering,Active,HQ,0,54,08-04-1968,Female,22-06-2012,Senior Developer,Cleveland,Ohio,18-09-2028
00-6722855,Kimmi Moff,Engineering,Active,Remote,0,39,11/30/1983,Male,28-04-2019,Service Coordinator,Akron,Ohio,18-09-2027
00-6768311,Adina Marcq,Engineering,Active,HQ,0,40,04-10-1982,Female,19-12-2014,Trainer II,Cleveland,Ohio,18-09-2026
00-6790860,Enrica Cohalan,Engineering,Active,Remote,0,39,9/28/1983,Male,11-03-2009,Service Manager,Detroit,Michigan,18-09-2024
00-6792940,Valera Hannent,Engineering,Active,Remote,0,31,06-11-1991,Female,07-03-2019,Trainer III,Springfield,Illinois,18-09-2024
00-6797967,Albrecht Geffinger,Sales,Active,HQ,0,23,6/13/1999,Male,16-12-2004,Business Systems Development Analyst,Cleveland,Ohio,18-09-2022
00-6804149,Orsa Pafford,Human Resources,Active,HQ,1,26,11-08-1996,Male,28-11-2018,Administrative Assistant I,Cleveland,Ohio,18-09-2021
00-6902222,Pall Snedker,Support,Terminated,HQ,1,29,10/19/1993,Male,30-01-2012,Software Consultant,Cleveland,Ohio,18-09-2015
00-6974128,Eilis Byford,Engineering,Active,HQ,1,37,5/13/1985,Female,02-02-2007,Senior Cost Accountant,Cleveland,Ohio,18-09-2008
00-7012064,Maridel Canario,Engineering,Active,HQ,1,26,05-08-1996,Female,14-03-2004,Research Assistant II,Cleveland,Ohio,18-09-2004
00-7043366,Mellie Hariot,Engineering,Active,HQ,0,42,06-01-1980,Male,12-07-2018,Analyst Programmer,Cleveland,Ohio,17-09-2038
00-7080550,Stefan Orht,Business Development,Active,HQ,0,37,7/24/1985,Female,30-09-2015,Project Manager,Cleveland,Ohio,17-09-2026
00-7080839,Bertie La Batie,Services,Active,Remote,0,28,12-12-1994,Male,20-11-2018,Solutions Engineer,Louisville,Kentucky,17-09-2024
00-7102476,Cammy Bleakman,Accounting,Active,Remote,1,33,6/18/1989,Male,25-10-2003,Accountant IV,Dayton,Ohio,17-09-2012
00-7374971,Theodor Perot,Engineering,Active,HQ,1,27,03-02-1995,Female,27-09-2009,Operator,Cleveland,Ohio,17-09-2012
00-7494159,Lu Larive,Human Resources,Terminated,HQ,1,33,4/14/1989,Male,18-06-2002,Account Executive,Cleveland,Ohio,17-09-2005
00-7507889,Marietta Marieton,Human Resources,Active,HQ,1,39,8/14/1983,Female,09-08-2004,Accounting Assistant IV,Cleveland,Ohio,17-09-2005
00-7598768,Monte How to preserve,Engineering,Active,Remote,0,21,06-12-2001,Female,24-08-2018,Assistant Trainer,Indianapolis,Indiana,16-09-2038
00-7685590,Emanuele Scotts,Engineering,Active,HQ,0,40,3/17/1982,Female,16-11-2017,Software Consultant,Cleveland,Ohio,16-09-2033
00-7693501,Kiley Ricci,Training,Active,HQ,0,56,2/20/1966,Male,10-05-2014,Software Engineer I,Cleveland,Ohio,16-09-2031
00-7726076,Pavel Corsor,Services,Active,HQ,0,35,8/16/1987,Female,14-07-2018,Content Developer III,Cleveland,Ohio,16-09-2027
00-7766529,Nikaniki Nurdin,Accounting,Active,Remote,0,37,10/20/1985,Male,13-10-2016,Senior Cost Accountant,Johnstown,Pennsylvania,16-09-2025
00-7800396,Siward Phelipeaux,Business Development,Terminated,HQ,0,45,11-07-1977,Male,23-07-2013,Solutions Engineer Manager,Cleveland,Ohio,16-09-2023
00-7802037,Kaylee Lambdin,Engineering,Active,HQ,1,27,5/19/1995,Female,29-05-2013,Computer Systems Analyst II,Cleveland,Ohio,16-09-2020
00-7925080,Chrisy Risen,Engineering,Terminated,HQ,0,47,5/22/1975,Female,11-02-2020,Senior Cost Accountant,Cleveland,Ohio,15-09-2034
00-8010185,Tab Lissemore,Business Development,Terminated,Remote,0,20,10-09-2002,Male,12-09-2019,Data Visualization Specialist,Cincinnati,Ohio,15-09-2032
00-8113601,Rem Hassey,Accounting,Active,HQ,0,36,01-05-1986,Male,25-11-2007,Budget/Accounting Analyst III,Cleveland,Ohio,15-09-2023
00-8203294,Brianna Dudin,Engineering,Active,HQ,0,26,03-11-1996,Male,20-06-2013,Web Designer I,Cleveland,Ohio,15-09-2023
00-8230593,Sheppard Klosges,Product Management,Terminated,HQ,0,32,06-05-1990,Male,17-07-2009,Account Executive,Cleveland,Ohio,15-09-2022
00-8250034,Karlen Duckworth,Human Resources,Active,HQ,1,20,01-03-2002,Female,01-07-2002,Developer I,Cleveland,Ohio,15-09-2021
00-8270076,Raphaela Clowney,Engineering,Active,HQ,1,34,06-08-1988,Male,26-03-2011,Programmer II,Cleveland,Ohio,15-09-2017
00-8302867,Idalia Sherborne,Services,Active,Remote,1,26,6/27/1996,Female,18-05-2004,Account Executive,Milwaukee,Wisconsin,15-09-2016
00-8320940,Terence MacConnechie,Engineering,Active,HQ,1,22,9/18/2000,Male,02-06-2005,Developer I,Cleveland,Ohio,15-09-2016
00-8429312,Shane Ousbie,Training,Active,HQ,1,36,5/13/1986,Non-Conforming,05-01-2001,Developer II,Cleveland,Ohio,15-09-2014
00-8477498,Cammi Yakebovitch,Research and Development,Active,HQ,1,23,6/18/1999,Male,26-10-2001,Account Executive,Cleveland,Ohio,15-09-2011
00-8477624,Tomkin Di Ruggiero,Sales,Active,HQ,1,32,01-11-1990,Male,02-02-2004,Service Tech,Cleveland,Ohio,15-09-2010
00-8527252,Leanor Gemnett,Sales,Active,Remote,1,29,08-03-1993,Male,02-12-2010,Service Tech II,Cincinnati,Ohio,15-09-2010
00-8536569,Sterling Prue,Human Resources,Terminated,HQ,0,50,09-11-1972,Male,22-03-2014,Senior Editor,Cleveland,Ohio,14-09-2028
00-8541630,Loydie Platts,Human Resources,Active,HQ,0,22,12/18/2000,Male,07-10-2010,Business Analyst,Cleveland,Ohio,14-09-2024
00-8542295,Darius Birchenough,Research and Development,Active,HQ,0,21,09-08-2001,Male,01-10-2008,Web Designer III,Cleveland,Ohio,14-09-2023
00-8571626,Jenn Whitecross,Training,Active,HQ,0,56,1/23/1966,Male,22-04-2003,Database Administrator I,Cleveland,Ohio,14-09-2023
00-8586665,Glenna Owbrick,Accounting,Active,HQ,0,54,04-12-1968,Female,21-03-2016,Quality Control Specialist,Cleveland,Ohio,14-09-2022
00-8679134,Lindy Colliver,Business Development,Active,Remote,1,24,5/14/1998,Male,27-01-2013,Human Resources Analyst II,Milwaukee,Wisconsin,14-09-2021
